	V1	V2
1	Aqu2.1.01297_001	1
2	Aqu2.1.04953_001	1
3	Aqu2.1.11364_001	1
4	Aqu2.1.13104_001	1
5	Aqu2.1.15181_001	1
6	Aqu2.1.16694_001	1
7	Aqu2.1.16734_001	1
8	Aqu2.1.18598_001	1
9	Aqu2.1.19549_001	1
10	Aqu2.1.20122_001	1
11	Aqu2.1.20342_001	1
12	Aqu2.1.20356_001	1
13	Aqu2.1.20539_001	1
14	Aqu2.1.21015_001	1
15	Aqu2.1.21825_001	1
16	Aqu2.1.22249_001	1
17	Aqu2.1.22312_001	1
18	Aqu2.1.22573_001	1
19	Aqu2.1.22593_001	1
20	Aqu2.1.23847_001	1
21	Aqu2.1.23870_001	1
22	Aqu2.1.23871_001	1
23	Aqu2.1.24278_001	1
24	Aqu2.1.25014_001	1
25	Aqu2.1.25311_001	1
26	Aqu2.1.25915_001	1
27	Aqu2.1.26576_001	1
28	Aqu2.1.26630_001	1
29	Aqu2.1.26986_001	1
30	Aqu2.1.27280_001	1
31	Aqu2.1.27300_001	1
32	Aqu2.1.27332_001	1
33	Aqu2.1.27338_001	1
34	Aqu2.1.28081_001	1
35	Aqu2.1.28210_001	1
36	Aqu2.1.28213_001	1
37	Aqu2.1.28214_001	1
38	Aqu2.1.28480_001	1
39	Aqu2.1.28524_001	1
40	Aqu2.1.28526_001	1
41	Aqu2.1.28587_001	1
42	Aqu2.1.28748_001	1
43	Aqu2.1.28939_001	1
44	Aqu2.1.29081_001	1
45	Aqu2.1.29124_001	1
46	Aqu2.1.29382_001	1
47	Aqu2.1.29513_001	1
48	Aqu2.1.29716_001	1
49	Aqu2.1.29913_001	1
50	Aqu2.1.29992_001	1
51	Aqu2.1.30435_001	1
52	Aqu2.1.30728_001	1
53	Aqu2.1.31241_001	1
54	Aqu2.1.31587_001	1
55	Aqu2.1.31793_001	1
56	Aqu2.1.31928_001	1
57	Aqu2.1.32105_001	1
58	Aqu2.1.32109_001	1
59	Aqu2.1.32877_001	1
60	Aqu2.1.32920_001	1
61	Aqu2.1.32923_001	1
62	Aqu2.1.32961_001	1
63	Aqu2.1.33441_001	1
64	Aqu2.1.33504_001	1
65	Aqu2.1.33526_001	1
66	Aqu2.1.33568_001	1
67	Aqu2.1.33637_001	1
68	Aqu2.1.33729_001	1
69	Aqu2.1.33752_001	1
70	Aqu2.1.33919_001	1
71	Aqu2.1.34192_001	1
72	Aqu2.1.34213_001	1
73	Aqu2.1.34344_001	1
74	Aqu2.1.34352_001	1
75	Aqu2.1.34372_001	1
76	Aqu2.1.34611_001	1
77	Aqu2.1.34892_001	1
78	Aqu2.1.35060_001	1
79	Aqu2.1.35070_001	1
80	Aqu2.1.35074_001	1
81	Aqu2.1.35176_001	1
82	Aqu2.1.35277_001	1
83	Aqu2.1.35506_001	1
84	Aqu2.1.35508_001	1
85	Aqu2.1.35571_001	1
86	Aqu2.1.35768_001	1
87	Aqu2.1.36017_001	1
88	Aqu2.1.36269_001	1
89	Aqu2.1.36487_001	1
90	Aqu2.1.36489_001	1
91	Aqu2.1.36547_001	1
92	Aqu2.1.36565_001	1
93	Aqu2.1.36606_001	1
94	Aqu2.1.36779_001	1
95	Aqu2.1.37149_001	1
96	Aqu2.1.37178_001	1
97	Aqu2.1.37183_001	1
98	Aqu2.1.37300_001	1
99	Aqu2.1.37301_001	1
100	Aqu2.1.37426_001	1
101	Aqu2.1.37497_001	1
102	Aqu2.1.37498_001	1
103	Aqu2.1.37564_001	1
104	Aqu2.1.37571_001	1
105	Aqu2.1.37732_001	1
106	Aqu2.1.37812_001	1
107	Aqu2.1.37898_001	1
108	Aqu2.1.37916_001	1
109	Aqu2.1.37919_001	1
110	Aqu2.1.37934_001	1
111	Aqu2.1.37961_001	1
112	Aqu2.1.38341_001	1
113	Aqu2.1.38369_001	1
114	Aqu2.1.38512_001	1
115	Aqu2.1.38538_001	1
116	Aqu2.1.38544_001	1
117	Aqu2.1.38627_001	1
118	Aqu2.1.38798_001	1
119	Aqu2.1.39199_001	1
120	Aqu2.1.39641_001	1
121	Aqu2.1.39667_001	1
122	Aqu2.1.39680_001	1
123	Aqu2.1.39704_001	1
124	Aqu2.1.39705_001	1
125	Aqu2.1.39723_001	1
126	Aqu2.1.39753_001	1
127	Aqu2.1.40007_001	1
128	Aqu2.1.40008_001	1
129	Aqu2.1.40357_001	1
130	Aqu2.1.40626_001	1
131	Aqu2.1.40666_001	1
132	Aqu2.1.40798_001	1
133	Aqu2.1.40803_001	1
134	Aqu2.1.40806_001	1
135	Aqu2.1.40808_001	1
136	Aqu2.1.40840_001	1
137	Aqu2.1.40850_001	1
138	Aqu2.1.40884_001	1
139	Aqu2.1.40905_001	1
140	Aqu2.1.40972_001	1
141	Aqu2.1.40982_001	1
142	Aqu2.1.41050_001	1
143	Aqu2.1.41052_001	1
144	Aqu2.1.41059_001	1
145	Aqu2.1.41111_001	1
146	Aqu2.1.41555_001	1
147	Aqu2.1.41569_001	1
148	Aqu2.1.41591_001	1
149	Aqu2.1.41631_001	1
150	Aqu2.1.41660_001	1
151	Aqu2.1.41690_001	1
152	Aqu2.1.41876_001	1
153	Aqu2.1.41938_001	1
154	Aqu2.1.41949_001	1
155	Aqu2.1.42031_001	1
156	Aqu2.1.42496_001	1
157	Aqu2.1.42532_001	1
158	Aqu2.1.42543_001	1
159	Aqu2.1.42569_001	1
160	Aqu2.1.42599_001	1
161	Aqu2.1.42635_001	1
162	Aqu2.1.42723_001	1
163	Aqu2.1.42738_001	1
164	Aqu2.1.42746_001	1
165	Aqu2.1.42752_001	1
166	Aqu2.1.43368_001	1
167	Aqu2.1.43387_001	1
168	Aqu2.1.43505_001	1
169	Aqu2.1.43521_001	1
170	Aqu2.1.43590_001	1
171	Aqu2.1.43783_001	1
172	Aqu2.1.43909_001	1
173	Aqu2.1.43948_001	1
174	Aqu2.1.44012_001	1
175	Aqu2.1.44111_001	1
176	Aqu2.1.44249_001	1
177	Aqu2.1.44335_001	1
178	Aqu2.1.44677_001	1
179	TCONS_00002106	1
180	TCONS_00004304	1
181	Aqu2.1.00014_001	NA
182	Aqu2.1.00015_001	NA
183	Aqu2.1.00017_001	NA
184	Aqu2.1.00018_001	NA
185	Aqu2.1.00021_001	NA
186	Aqu2.1.00026_001	NA
187	Aqu2.1.00029_001	NA
188	Aqu2.1.00030_001	NA
189	Aqu2.1.00036_001	NA
190	Aqu2.1.00039_001	NA
191	Aqu2.1.00045_001	NA
192	Aqu2.1.00048_001	NA
193	Aqu2.1.00049_001	NA
194	Aqu2.1.00052_001	NA
195	Aqu2.1.00055_001	NA
196	Aqu2.1.00064_001	NA
197	Aqu2.1.00065_001	NA
198	Aqu2.1.00070_001	NA
199	Aqu2.1.00085_001	NA
200	Aqu2.1.00087_001	NA
201	Aqu2.1.00088_001	NA
202	Aqu2.1.00094_001	NA
203	Aqu2.1.00095_001	NA
204	Aqu2.1.00096_001	NA
205	Aqu2.1.00098_001	NA
206	Aqu2.1.00099_001	NA
207	Aqu2.1.00100_001	NA
208	Aqu2.1.00102_001	NA
209	Aqu2.1.00117_001	NA
210	Aqu2.1.00127_001	NA
211	Aqu2.1.00129_001	NA
212	Aqu2.1.00131_001	NA
213	Aqu2.1.00132_001	NA
214	Aqu2.1.00134_001	NA
215	Aqu2.1.00138_001	NA
216	Aqu2.1.00140_001	NA
217	Aqu2.1.00141_001	NA
218	Aqu2.1.00150_001	NA
219	Aqu2.1.00151_001	NA
220	Aqu2.1.00153_001	NA
221	Aqu2.1.00165_001	NA
222	Aqu2.1.00166_001	NA
223	Aqu2.1.00172_001	NA
224	Aqu2.1.00178_001	NA
225	Aqu2.1.00194_001	NA
226	Aqu2.1.00195_001	NA
227	Aqu2.1.00198_001	NA
228	Aqu2.1.00200_001	NA
229	Aqu2.1.00202_001	NA
230	Aqu2.1.00203_001	NA
231	Aqu2.1.00206_001	NA
232	Aqu2.1.00207_001	NA
233	Aqu2.1.00217_001	NA
234	Aqu2.1.00221_001	NA
235	Aqu2.1.00229_001	NA
236	Aqu2.1.00235_001	NA
237	Aqu2.1.00238_001	NA
238	Aqu2.1.00239_001	NA
239	Aqu2.1.00243_001	NA
240	Aqu2.1.00245_001	NA
241	Aqu2.1.00247_001	NA
242	Aqu2.1.00253_001	NA
